id;tên sách_x;tác giả;quốc gia;năm sáng tác;thể loại;tên sách_y;link Wikipedia;link hình ảnh
48;Totto-chan: The Little Girl at the Window (Totto-chan bên cửa sổ);Tetsuko Kuroyanagi;Nhật Bản;1981;Thiếu nhi / Tự truyện giáo dục;Totto-chan: The Little Girl at the Window;https://en.wikipedia.org/wiki/Totto-Chan:_The_Little_Girl_at_the_Window;https://upload.wikimedia.org/wikipedia/en/d/d1/Totto-chan.png
49;The Old Man and the Sea (Ông già và biển cả);Ernest Hemingway;Mỹ;1952;Văn học / Hiện thực;The Old Man and the Sea;https://en.wikipedia.org/wiki/The_Old_Man_and_the_Sea;https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/The_Old_Man_and_the_Sea_%281952%29_front_cover%2C_first_edition.jpg/250px-The_Old_Man_and_the_Sea_%281952%29_front_cover%2C_first_edition.jpg
50;The Hunchback of Notre-Dame (Nhà thờ Đức Bà Paris);Victor Hugo;Pháp;1831;Văn học / Lãng mạn;The Hunchback of Notre-Dame;https://en.wikipedia.org/wiki/The_Hunchback_of_Notre-Dame;https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Notre-Dame_de_Paris_1st_edition.jpg/250px-Notre-Dame_de_Paris_1st_edition.jpg
51;Lão Hạc;Nam Cao;Việt Nam;1943;Văn học / Hiện thực phê phán;Lão Hạc;https://vi.wikipedia.org/wiki/Lão_Hạc;https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Vietnam.svg/40px-Flag_of_Vietnam.svg.png
52;Tắt đèn;Ngô Tất Tố;Việt Nam;1937;Văn học / Xã hội;Tắt đèn;https://vi.wikipedia.org/wiki/Tắt_đèn;https://upload.wikimedia.org/wikipedia/vi/thumb/b/b1/T%E1%BA%AFt_%C4%91%C3%A8n-Nh%C3%A3_Nam.jpeg/250px-T%E1%BA%AFt_%C4%91%C3%A8n-Nh%C3%A3_Nam.jpeg
53;How to Win Friends and Influence People (Đắc nhân tâm);Dale Carnegie;Mỹ;1936;Kỹ năng / Giao tiếp;How to Win Friends and Influence People (Đắc nhân tâm);https://en.wikipedia.org/wiki/How_to_Win_Friends_and_Influence_People;https://upload.wikimedia.org/wikipedia/en/thumb/3/33/How-to-win-friends-and-influence-people.jpg/250px-How-to-win-friends-and-influence-people.jpg
54;The 7 Habits of Highly Effective People;Stephen R. Covey;Mỹ;1989;Kỹ năng / Phát triển bản thân;The 7 Habits of Highly Effective People;https://en.wikipedia.org/wiki/The_7_Habits_of_Highly_Effective_People;https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/The_7_Habits_of_Highly_Effective_People.jpg/250px-The_7_Habits_of_Highly_Effective_People.jpg
55;The Grapes of Wrath (chùm nho uất hận);John Steinbeck;Mỹ;1939;Khoa học / Tâm lý học;Chùm nho uất hận;https://vi.wikipedia.org/wiki/Chùm_nho_uất_hận;https://upload.wikimedia.org/wikipedia/vi/thumb/4/47/Grape.jpg/250px-Grape.jpg
56;The Art of Computer Programming;Donald Knuth;Mỹ;1968;Khoa học;The Art of Computer Programming;https://en.wikipedia.org/wiki/The_Art_of_Computer_Programming;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/ArtOfComputerProgramming.svg/250px-ArtOfComputerProgramming.svg.png
57;Good to Great (Từ tốt đến vĩ đại);Jim Collins;Mỹ;2001;Phi hư cấu-Kỹ năng / Lãnh đạo;Good to Great;https://en.wikipedia.org/wiki/Good_to_Great;https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Cover_Good_2_Gr8.jpg/250px-Cover_Good_2_Gr8.jpg
58;Artificial Intelligence: A Modern Approach (Trí tuệ nhân tạo: Một cách tiếp cận hiện đại);Stuart J. Russell và Peter Norvig;Việt Nam;1995 lần 1, tái bản lần 4 vào 2020;Khoa học máy tính;Artificial Intelligence: A Modern Approach;https://en.wikipedia.org/wiki/Artificial_Intelligence:_A_Modern_Approach;https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Artificial_Intelligence-_A_Modern_Approach.jpg/250px-Artificial_Intelligence-_A_Modern_Approach.jpg
59;Atomic Habits;James Clear;Mỹ;2018;Kỹ năng / Thay đổi thói quen;Atomic Habits;https://en.wikipedia.org/wiki/Atomic_Habits;https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Atomic_Habits_book_cover.jpg/250px-Atomic_Habits_book_cover.jpg
60;The Power of Now;Eckhart Tolle;Đức / Canada;1997;Khoa học / Tâm linh học thuật;The Power of Now;https://en.wikipedia.org/wiki/The_Power_of_Now;https://upload.wikimedia.org/wikipedia/en/thumb/6/66/TPON_Cover_LG.jpg/250px-TPON_Cover_LG.jpg
61;Harry Potter và Phòng chứa bí mật;J.K. Rowling;Anh;1998;Giả tưởng / Thiếu nhi;Harry Potter and the Chamber of Secrets;https://en.wikipedia.org/wiki/Harry_Potter_and_the_Chamber_of_Secrets;https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/Harry_Potter_and_the_Chamber_of_Secrets.jpg/250px-Harry_Potter_and_the_Chamber_of_Secrets.jpg
62;Harry Potter và Tên tù nhân ngục Azkaban;J.K. Rowling;Anh;1999;Giả tưởng / Phiêu lưu;Harry Potter and the Prisoner of Azkaban;https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban;https://upload.wikimedia.org/wikipedia/en/a/a0/Harry_Potter_and_the_Prisoner_of_Azkaban.jpg
63;Harry Potter và Chiếc cốc lửa;J.K. Rowling;Anh;2000;Giả tưởng / Phiêu lưu;Harry Potter and the Goblet of Fire;https://en.wikipedia.org/wiki/Harry_Potter_and_the_Goblet_of_Fire;https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Harry_Potter_and_the_Goblet_of_Fire_cover.png/250px-Harry_Potter_and_the_Goblet_of_Fire_cover.png
